ProvID,Culture,Religion,TradeGoods,Citizens,Freedmen,lower_strata,middle_strata,proletariat,Slaves,Tribesmen,upper_strata,Civilization,Barbarian,NameRef,AraRef
52,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov52,noregion
53,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov53,noregion
54,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov54,noregion
55,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov55,noregion
56,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov56,noregion
57,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov57,noregion
58,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov58,noregion
59,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov59,noregion
60,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov60,noregion
61,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov61,noregion
62,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov62,noregion
63,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov63,noregion
64,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov64,noregion
65,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov65,noregion
66,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov66,noregion
67,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov67,noregion
68,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov68,noregion
69,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov69,noregion
70,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov70,noregion
71,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov71,noregion
72,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov72,noregion
73,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov73,noregion
74,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov74,noregion
75,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov75,noregion
76,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov76,noregion
77,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov77,noregion
78,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov78,noregion
79,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov79,noregion
80,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov80,noregion
81,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov81,noregion
82,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov82,noregion
83,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov83,noregion
84,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov84,noregion
85,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov85,noregion
86,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov86,noregion
87,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov87,noregion
88,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov88,noregion
89,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov89,noregion
90,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov90,noregion
91,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov91,noregion
92,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov92,noregion
93,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov93,noregion
94,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov94,noregion
95,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov95,noregion
96,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov96,noregion
97,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov97,noregion
98,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov98,noregion
99,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov99,noregion
100,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov100,noregion
101,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov101,noregion
102,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov102,noregion
103,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov103,noregion
104,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov104,noregion
105,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov105,noregion
106,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov106,noregion
107,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov107,noregion
108,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov108,noregion
109,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov109,noregion
110,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov110,noregion
111,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov111,noregion
112,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov112,noregion
113,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov113,noregion
114,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov114,noregion
115,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov115,noregion
116,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov116,noregion
117,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov117,noregion
118,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov118,noregion
119,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov119,noregion
120,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov120,noregion
121,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov121,noregion
122,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov122,noregion
123,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov123,noregion
124,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov124,noregion
125,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov125,noregion
126,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov126,noregion
127,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov127,noregion
128,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov128,noregion
129,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov129,noregion
130,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov130,noregion
131,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov131,noregion
132,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov132,noregion
133,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov133,noregion
134,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov134,noregion
135,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov135,noregion
136,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov136,noregion
137,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov137,noregion
138,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov138,noregion
139,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov139,noregion
140,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov140,noregion
141,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov141,noregion
142,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov142,noregion
143,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov143,noregion
144,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov144,noregion
145,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov145,noregion
146,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov146,noregion
147,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov147,noregion
148,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov148,noregion
149,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov149,noregion
150,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov150,noregion
151,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov151,noregion
152,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov152,noregion
153,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov153,noregion
154,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov154,noregion
155,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov155,noregion
156,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov156,noregion
157,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov157,noregion
158,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov158,noregion
159,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov159,noregion
160,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov160,noregion
161,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov161,noregion
162,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov162,noregion
163,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov163,noregion
164,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov164,noregion
165,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov165,noregion
166,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov166,noregion
167,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov167,noregion
168,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov168,noregion
169,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov169,noregion
170,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov170,noregion
171,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov171,noregion
172,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov172,noregion
173,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov173,noregion
174,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov174,noregion
175,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov175,noregion
176,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov176,noregion
177,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov177,noregion
178,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov178,noregion
179,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov179,noregion
180,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov180,noregion
181,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov181,noregion
182,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov182,noregion
183,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov183,noregion
184,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov184,noregion
185,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov185,noregion
186,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov186,noregion
187,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov187,noregion
188,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov188,noregion
189,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov189,noregion
190,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov190,noregion
191,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov191,noregion
192,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov192,noregion
193,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov193,noregion
194,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov194,noregion
195,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov195,noregion
196,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov196,noregion
197,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov197,noregion
198,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov198,noregion
199,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov199,noregion
200,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov200,noregion
201,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov201,noregion
202,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov202,noregion
203,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov203,noregion
204,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov204,noregion
205,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov205,noregion
206,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov206,noregion
207,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov207,noregion
208,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov208,noregion
209,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov209,noregion
210,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov210,noregion
211,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov211,noregion
212,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov212,noregion
213,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov213,noregion
214,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov214,noregion
215,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov215,noregion
216,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov216,noregion
217,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov217,noregion
218,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov218,noregion
219,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov219,noregion
220,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov220,noregion
221,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov221,noregion
222,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov222,noregion
223,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov223,noregion
224,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov224,noregion
225,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov225,noregion
226,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov226,noregion
227,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov227,noregion
228,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov228,noregion
229,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov229,noregion
230,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov230,noregion
231,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov231,noregion
232,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov232,noregion
233,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov233,noregion
234,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov234,noregion
235,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov235,noregion
236,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov236,noregion
237,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov237,noregion
238,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov238,noregion
239,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov239,noregion
240,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov240,noregion
241,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov241,noregion
242,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov242,noregion
243,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov243,noregion
244,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov244,noregion
245,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov245,noregion
246,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov246,noregion
247,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov247,noregion
248,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov248,noregion
249,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov249,noregion
250,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov250,noregion
251,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov251,noregion
252,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov252,noregion
253,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov253,noregion
254,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov254,noregion
255,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov255,noregion
256,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov256,noregion
257,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov257,noregion
258,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov258,noregion
259,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov259,noregion
260,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov260,noregion
261,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov261,noregion
262,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov262,noregion
263,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov263,noregion
264,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov264,noregion
265,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov265,noregion
266,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov266,noregion
267,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov267,noregion
268,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov268,noregion
269,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov269,noregion
270,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov270,noregion
271,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov271,noregion
272,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov272,noregion
273,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov273,noregion
274,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov274,noregion
275,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov275,noregion
276,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov276,noregion
277,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov277,noregion
278,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov278,noregion
279,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov279,noregion
280,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov280,noregion
281,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov281,noregion
282,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov282,noregion
283,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov283,noregion
284,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov284,noregion
285,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov285,noregion
286,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov286,noregion
287,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov287,noregion
288,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov288,noregion
289,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov289,noregion
290,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov290,noregion
291,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov291,noregion
292,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov292,noregion
293,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov293,noregion
294,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov294,noregion
295,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov295,noregion
296,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov296,noregion
297,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov297,noregion
298,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov298,noregion
299,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov299,noregion
300,roman,roman_pantheon,cloth,0,0,1,1,1,1,1,1,40,0,landprov300,noregion
