PROVID;CULTURE;Religion;TRADEGOOD;unused;indentured;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE_RANK;NAME;AREA;TERRAIN;;;LITERACY;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type 2;Extra pop culture 2;Extra pop religion 2;Extra pop size 2;Extra pop type 3;Extra pop culture 3;Extra pop religion 3;Extra pop size 3;Extra pop type 4;Extra pop culture 4;Extra pop religion 4;Extra pop size 4;Extra pop type 5;Extra pop culture 5;Extra pop religion 5;Extra pop size 5;Extra pop type 6;Extra pop culture 6;Extra pop religion 6;Extra pop size 6;Extra pop type 7;Extra pop culture 7;Extra pop religion 7;Extra pop size 7
103;shangjiang;mahayana;cloth;0;0;116;0;0;0;0;0;10;0;Zoige;Sichuan;hills;patched_state;Sichuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;tamazight;sunni;iron;0;0;0;0;0;0;2;0;0;0;As Saddadah;Tripolitania;extreme_desert;patched_state;Tripolitania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;tuvan;sunni;wood;0;0;0;0;0;0;0;0;0;0;Novobirilussi;Khakassia;boreal_forest;patched_state;Khakassia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;turkmen;sunni;cloth;0;0;10;0;0;0;5;0;0;0;Gijduvon;Bukhara;semi_arid;patched_state;Bukhara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;manchu;siberian_shamanism;wood;0;0;2;0;0;0;1;0;0;0;Haishenwai;Guanwai;plains;patched_state;Guanwai;;lower_strata;han;mahayana;1;;;;;;;;;;;;;;;;;;;;;;;;
108;tamazight;sunni;camel;0;0;0;0;0;0;1;0;0;0;El Jufra;Fezzan;extreme_desert;patched_state;Fezzan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;russian;orthodox;wood;0;0;2;0;0;0;0;0;7;0;Poleove;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;tajik;sunni;livestock;0;0;37;5;2;0;4;2;1;1;Kokand;Bukhara;low_mountain;patched_state;Bukhara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;somali;sunni;camel;0;0;3;0;0;0;3;0;0;0;Taleh;Somaliland;extreme_desert;patched_state;Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;uighur;sunni;livestock;0;0;7;0;0;0;0;0;0;0;PROV112;Xinjiang;low_mountain;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;kazakh;sunni;livestock;0;0;7;0;0;0;0;0;0;0;PROV113;Xinjiang;desert;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;central_american;catholic;coffee;0;0;5;0;0;0;0;0;5;0;Veraguas;Panama;sparse_jungle;patched_state;Panama;;slaves;zambo;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
115;maori;rangi;livestock;0;0;0;0;0;0;1;0;0;0;Dunedin;Te_Waipounamu;hills;patched_state;Te_Waipounamu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;baloch;shiite;livestock;0;0;0;0;0;0;2;0;0;0;Zahedan;Balochistan;desert;patched_state;Balochistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;shangjiang;daoism;grain;0;0;155;0;0;0;0;0;10;0;Ziliujing;Chongqing;hills;patched_state;Chongqing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;maori;rangi;stone;0;0;0;0;0;0;1;0;0;0;Te_Anau;Te_Waipounamu;low_mountain;patched_state;Te_Waipounamu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;tamazight;sunni;camel;0;0;0;0;0;0;1;0;0;0;Sahara Desert;Fezzan;extreme_desert;patched_state;Fezzan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;somali;sunni;grain;0;0;3;0;0;1;8;0;0;0;Hargeisa;Somaliland;desert;patched_state;Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;uighur;sunni;livestock;0;0;0;0;0;0;1;0;0;0;PROV121;Xinjiang;desert;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;lithuanian;catholic;temperate_fruit;0;0;6;0;0;0;0;0;7;0;Pasvalys;Kowno;plains;patched_state;Kowno;;lower_strata;polish;catholic;1;lower_strata;ashkenazi;jewish;1;;;;;;;;;;;;;;;;;;;;
123;north_german;lutheran;fish;0;0;2;0;0;0;0;0;20;0;Eutin;Schleswig-Holstein;farmland;patched_state;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;russian;orthodox;grain;0;0;9;0;0;0;0;0;7;0;Poim;Penza;plains;patched_state;Penza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;finnish;lutheran;grain;0;0;4;0;0;0;0;0;0;0;Rauma;Åbo;;patched_state;Åbo;;lower_strata;swedish;lutheran;1;;;;;;;;;;;;;;;;;;;;;;;;
126;belarusian;orthodox;grain;0;0;5;0;0;0;0;0;10;0;Chachersk;Mogilev;forest;patched_state;Mogilev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;finnish;lutheran;grain;0;0;3;0;0;0;0;0;0;0;Forssa;Tavastehus;;patched_state;Tavastehus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;kurdish;sunni;wool;0;0;1;0;0;0;1;0;0;0;Cebrayil;Yelizavetpol;hills;patched_state;Yelizavetpol;;lower_strata;armenian;orthodox;1;;;;;;;;;;;;;;;;;;;;;;;;
129;lithuanian;catholic;wood;0;0;4;0;0;0;0;0;7;0;Kursenai;Kowno;forest;patched_state;Kowno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;occitan;catholic;livestock;0;0;18;3;6;0;0;1;12;0;Montauban;Gascogne;;patched_state;Gascogne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;russian;orthodox;wood;0;0;4;0;0;0;0;0;7;0;Vsykovsk;Moskva;forest;patched_state;Moskva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;damara;khoi-san;wood;0;0;0;0;0;0;1;0;0;0;Clanwilliam;South_Africa;desert;patched_state;South_Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;slovak;catholic;iron;0;0;14;2;0;0;0;0;10;0;Neusohl;Kaschau;farmland;patched_state;Kaschau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;luo;kenyan;wool;0;4;0;0;0;0;2;0;3;0;Daraja;Tanzania;plains;patched_state;Tanzania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;occitan;catholic;livestock;0;0;31;5;9;0;0;2;12;1;Pau;Aquitaine;;patched_state;Aquitaine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;slovak;catholic;mediterranean_fruit;0;0;18;3;0;0;0;0;10;0;Neutra;Pressburg;;patched_state;Pressburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;wu;daoism;grain;0;0;19;2;0;0;0;3;10;0;Chun'an;Zhejian;low_mountain;patched_state;Zhejian;;lower_strata;miao;daoism;9;;;;;;;;;;;;;;;;;;;;;;;;
138;belarusian;orthodox;grain;0;0;4;0;0;0;0;0;10;0;Krasnapolle;Mogilev;forest;patched_state;Mogilev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
