PROVID;CULTURE;Religion;TRADEGOOD;unused;unused2;lower_strata;middle_strata;proletariat;slaves;tribesmen;upper_strata;INDUSTRIALISATION;PROVINCE RANK;NAME;AREA;TERRAIN;;;Subcultures / religons;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size;Extra pop type;Extra pop culture;Extra pop religion;Extra pop size
17;czech;catholic;cloth;0;0;23;5;0;0;0;0;39;0;Hohenmauth;Bohmen;;patched_state;Bohmen;;lower_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
18;polish;catholic;wood;0;0;0;1;1;0;0;2;40;0;Augustów;Augustowskie;;patched_state;Augustowskie;;lower_strata;lithuanian;lutheran;1;proletariat;lithuanian;catholic;1;upper_strata;lithuanian;catholic;1;;;;;;;;;;;;;;;;
19;north_italian;catholic;grain;0;0;16;10;0;0;0;1;39;0;Chieri;Piemonte;forest;patched_state;Piemonte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;czech;catholic;cloth;0;0;24;4;0;0;0;0;39;0;Neuhaus;Bohmen;;patched_state;Bohmen;;lower_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;;;;;
21;libyan;sunni;cloth;0;0;9;0;0;0;4;0;39;0;PROV21;Cyrenaica;;patched_state;Cyrenaica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;mordvin;orthodox;cloth;0;0;1;0;0;0;0;0;39;0;PROV22;Kazan;;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;manchu;mahayana;cloth;0;0;7;0;0;0;0;0;39;0;Ussurijsk;Guanwai;;patched_state;Guanwai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;khakas;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV24;Tyumen;boreal_forest;patched_state;Tyumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;kachin;theravada;cloth;0;0;0;0;0;0;0;0;39;0;Myitkyina;state_585;;patched_state;state_585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;kazakh;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV26;Astrakhan;semi_arid;patched_state;Astrakhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;russian;orthodox;cloth;0;0;1;0;0;0;0;0;39;0;Saratov;Saratov;;patched_state;Saratov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;korean;mahayana;cloth;0;0;33;0;0;0;0;0;40;0;Huicheon;Bukhan;;patched_state;Bukhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;north_italian;catholic;silk;0;0;28;11;4;0;0;0;39;0;Brescia;Lombardy;farmland;patched_state;Lombardy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;burmese;theravada;cloth;0;0;20;0;0;0;0;1;39;0;Akyab;Arakan;;patched_state;Arakan;;tribesmen;burmese;thagyaminist;4;lower_strata;burmese;thagyaminist;4;slaves;rohingya;sunni;15;;;;;;;;;;;;;;;;
31;korean;mahayana;cloth;0;0;36;0;0;0;0;0;40;0;Kopeung;Bukhan;;patched_state;Bukhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;gondi;hindu;grain;0;0;109;14;4;0;21;0;40;0;PROV32;Hyderbad;;patched_state;Hyderbad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;savoyard;catholic;gold;0;0;5;0;0;0;0;1;39;0;Valgrisanche;Savoy;extreme_mountain;patched_state;Savoy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;roman;mana;cloth;0;0;0;0;0;0;0;0;40;0;PROV34_latin;Salomon_Islands;;patched_state;Salomon_Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;libyan;sunni;cloth;0;0;7;0;0;0;3;0;39;0;PROV35;Tripoli;;patched_state;Tripoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;tutchone;waashat;wood;0;0;0;0;0;0;1;0;40;0;Anahim Lake;Columbia;;patched_state;Columbia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;japanese;shinto;livestock;0;0;34;2;0;0;0;2;40;0;Shobara;Chugoku;hills;patched_state;Chugoku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;manchu;mahayana;cloth;0;0;7;0;0;0;0;0;39;0;PROV38;Guanwai;;patched_state;Guanwai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;manchu;mahayana;cloth;0;0;58;2;2;0;0;3;39;0;PROV39;Heilongjiang;;patched_state;Heilongjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;burmese;theravada;cloth;0;0;29;2;0;0;12;1;39;0;Shwegyin;Tenasserim;;patched_state;Tenasserim;;tribesmen;moken;austronesian;2;;;;;;;;;;;;;;;;;;;;;;;;
41;georgian;orthodox;wool;0;0;0;0;0;0;0;0;39;0;Poti;Sakartvelo;;patched_state;Sakartvelo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;dolgan;tengri;wood;0;0;0;0;0;0;0;0;40;0;PROV42_latin;Krasnoyarsk;tundra;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;manchu;mahayana;cloth;0;0;24;1;1;0;0;1;39;0;PROV43;Heilongjiang;;patched_state;Heilongjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;shilluk;kenyan;cloth;0;0;3;0;0;3;5;0;40;0;PROV44;Sudan;;patched_state;Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;oriya;hindu;cloth;0;0;51;5;5;0;27;0;40;0;Puri;state_594;;patched_state;state_594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;shoshone;waashat;cloth;0;0;0;0;0;0;0;0;40;0;PROV46;Wyoming;;patched_state;Wyoming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;latin_caribbean;catholic;cloth;0;0;4;1;0;0;0;0;39;0;Santo Domingo;Dominicana;farmland;patched_state;Dominicana;;slaves;zambo;catholic;2;upper_strata;castilian;catholic;1;lower_strata;zambo;catholic;2;;;;;;;;;;;;;;;;
48;anglo_antipodean;mythic;wool;0;0;0;0;0;0;0;0;40;0;PROV48;South_Australia;plains;patched_state;South_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;bengali;sunni;grain;0;0;134;0;0;0;134;0;40;0;PROV49;West_Bengal;;patched_state;West_Bengal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;roman;mythic;cloth;0;0;0;0;0;0;0;0;40;0;PROV50_latin;Papua_New_Guinea;dense_jungle;patched_state;Papua_New_Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;han;confucianism;cloth;0;0;58;2;2;0;0;3;39;0;Baoji;Chongqing;;patched_state;Chongqing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;amur;tengri;cloth;0;0;0;0;0;0;0;0;39;0;PROV52;Magadan;boreal_forest;patched_state;Magadan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;japanese;mahayana;grain;0;0;34;2;0;0;0;4;40;0;Masudo;Chugoku;forest;patched_state;Chugoku;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;roman;mythic;livestock;0;0;0;0;0;0;0;0;40;0;PROV54_latin;Northern_Territory;extreme_desert;patched_state;Northern_Territory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;han;mahayana;cloth;0;0;7;0;0;0;0;0;39;0;PROV55;Gansu;;patched_state;Gansu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;dolgan;sunni;wood;0;0;0;0;0;0;0;0;39;0;PROV56;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;hausa;hausa;cloth;0;0;3;0;0;2;24;0;40;0;Maiduguri;Nigeria;;patched_state;Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;colombian;catholic;sugar;0;0;10;0;0;0;0;0;40;0;Buchivacoa;Venezuela;hills;patched_state;Venezuela;;slaves;zambo;catholic;3;;;;;;;;;;;;;;;;;;;;;;;;
59;ute;waashat;cloth;0;0;0;0;0;0;0;0;40;0;Salt Lake City;Utah;desert;patched_state;Utah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;anglo_antipodean;mythic;wool;0;0;0;0;0;0;0;0;40;0;Port Lincoln;South_Australia;plains;patched_state;South_Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;bihari;hindu;cloth;0;0;58;5;2;0;12;0;40;0;Gaya;Bihar;;patched_state;Bihar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;kru;akan;cloth;0;0;3;0;0;0;19;0;40;0;Dabou;Ivory Coast;;patched_state;Ivory Coast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;roman;mythic;livestock;0;0;0;0;0;0;0;0;40;0;PROV63_latin;Northern_Territory;desert;patched_state;Northern_Territory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;persian;shiite;cloth;0;0;0;0;0;0;0;0;39;0;PROV64;Kerman;desert;patched_state;Kerman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV65;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;colombian;catholic;sugar;0;0;4;0;0;0;0;0;40;0;La Guajira;Colombia;low_mountain;patched_state;Colombia;;slaves;zambo;catholic;3;tribesmen;wayuu;muisca;5;lower_strata;wayuu;catholic;4;;;;;;;;;;;;;;;;
67;mossi;sunni;cloth;0;0;3;0;0;13;22;0;39;0;Niamey;Niger;;patched_state;Niger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;north_german;catholic;cloth;0;0;0;0;0;0;0;0;39;0;Dessau;Sachsen-Anhalt;;patched_state;Sachsen-Anhalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;scottish;reformed;wood;0;0;12;1;0;0;0;0;40;0;North Ayrshire;Scotland;;patched_state;Scotland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;frisian;lutheran;fish;0;0;0;1;0;0;0;0;39;0;Heligoland;state_542;;patched_state;state_542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;ukrainian;catholic;cloth;0;0;0;0;0;0;0;0;39;0;PROV71;Kaschau;;patched_state;Kaschau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV72;Minsk;plains;patched_state;Minsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;oromo;kenyan;cloth;0;0;3;0;0;8;23;0;39;0;PROV73;Abyssinia;;patched_state;Abyssinia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;czech;catholic;cloth;0;0;23;11;12;0;0;4;40;1;Prag;Bohmen;;patched_state;Bohmen;;lower_strata;austrian;catholic;2;upper_strata;austrian;catholic;2;;;;;;;;;;;;;;;;;;;;
75;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;Minsk;Minsk;plains;patched_state;Minsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;comanche;waashat;livestock;0;0;0;0;0;0;0;0;40;0;PROV76;Texas;semi_arid;patched_state;Texas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV77;Vologda;boreal_forest;patched_state;Vologda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;ukrainian;orthodox;cloth;0;0;3;0;0;0;0;0;39;0;Krasnoarmisk;Yekaterinoslav;farmland;patched_state;Yekaterinoslav;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;north_german;catholic;cloth;0;0;4;3;3;0;0;0;39;0;Halle;Sachsen-Anhalt;;patched_state;Sachsen-Anhalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;castilian;catholic;cloth;0;0;9;2;2;0;0;0;39;0;Ronda;Seville;;patched_state;Seville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;bashkir;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV81;Orenburg;;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;scottish;reformed;fish;0;0;3;0;0;0;0;0;40;0;Kintyre;Scotland;;patched_state;Scotland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;occitan;catholic;cloth;0;0;33;2;0;0;0;2;39;0;Die;Rhône-Alpes;;patched_state;Rhône-Alpes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;castilian;catholic;cloth;0;0;11;1;2;0;0;1;39;0;Jumilla;Murcia;;patched_state;Murcia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;french;catholic;cloth;0;0;12;2;4;0;0;1;39;0;Thann;Alsace;;patched_state;Alsace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;mordvin;orthodox;cloth;0;0;2;0;0;0;0;0;39;0;PROV86;Kazan;;patched_state;Kazan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;south_german;lutheran;cloth;0;0;17;3;0;0;0;0;39;0;Luditz;Sudeten;low_mountain;patched_state;Sudeten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;tamazight;sunni;cloth;0;0;0;0;0;0;2;0;39;0;PROV88;Tripoli;;patched_state;Tripoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;cherokee;waashat;cloth;0;0;0;0;0;0;1;0;40;0;Huntington;West Virginia;;patched_state;West Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;uzbek;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV90;state_159;;patched_state;state_159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;amur;mahayana;cloth;0;0;0;0;0;0;1;0;39;0;PROV91;Amur;;patched_state;Amur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV92;Minsk;plains;patched_state;Minsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;khmer;theravada;cloth;0;0;3;1;0;0;0;0;39;0;Mawlamyaing;Tenasserim;;patched_state;Tenasserim;;lower_strata;khmer;hindu;2;lower_strata;malayan;sunni;1;;;;;;;;;;;;;;;;;;;;
94;castilian;catholic;cloth;0;0;10;2;3;0;0;0;39;0;Ecija;Seville;;patched_state;Seville;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;bashkir;orthodox;horses;0;0;0;0;0;0;0;0;39;0;PROV95;Uralsk;semi_arid;patched_state;Uralsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;manchu;mahayana;cloth;0;0;24;1;1;0;0;1;39;0;PROV96;Böhmen20;;patched_state;Böhmen20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;burmese;theravada;cloth;0;0;0;0;0;0;15;0;39;0;PROV97;state_112;;patched_state;state_112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;uighur;sunni;cloth;0;0;0;0;0;0;1;0;39;0;PROV98;Xinjiang;;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;castilian;catholic;cloth;0;0;11;1;2;0;0;1;39;0;Hellin;Murcia;;patched_state;Murcia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;khmer;theravada;cloth;0;0;17;0;0;0;0;1;39;0;Kracheh;Cambodia;;patched_state;Cambodia;;lower_strata;chamic;sunni;2;;;;;;;;;;;;;;;;;;;;;;;;
101;mordvin;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV101;Orenburg;;patched_state;Orenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;baloch;sunni;cloth;0;0;0;0;0;0;2;0;40;0;PROV102;Baluchistan;desert;patched_state;Baluchistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;han;mahayana;cloth;0;0;7;0;0;0;0;0;39;0;PROV103;Sichuan;;patched_state;Sichuan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;tamazight;sunni;cloth;0;0;0;0;0;0;2;0;39;0;PROV104;Tripoli;;patched_state;Tripoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;tuvan;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV105;Khakassia;;patched_state;Khakassia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;turkmen;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV106;Syr-Darya;desert;patched_state;Syr-Darya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;manchu;mahayana;cloth;0;0;7;0;0;0;0;0;39;0;Haishenwai;Guanwai;;patched_state;Guanwai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;tamazight;sunni;camel;0;0;0;0;0;0;2;0;39;0;PROV108;Libyan_Sahara;;patched_state;Libyan_Sahara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;tuvan;sunni;wood;0;0;0;0;0;0;0;0;39;0;PROV109;Krasnoyarsk;boreal_forest;patched_state;Krasnoyarsk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;tajik;sunni;cloth;0;0;0;0;0;0;0;0;40;0;PROV110;state_159;;patched_state;state_159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;somali;sunni;cloth;0;0;3;0;0;0;3;0;40;0;PROV111;Somaliland;;patched_state;Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;uighur;sunni;cloth;0;0;7;0;0;0;0;0;39;0;PROV112;Xinjiang;;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;uighur;sunni;cloth;0;0;7;0;0;0;0;0;39;0;PROV113;Xinjiang;;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;central_american;catholic;tropical_fruit;0;0;5;0;0;0;0;0;40;0;Veraguas;Panama;sparse_jungle;patched_state;Panama;;slaves;zambo;catholic;1;;;;;;;;;;;;;;;;;;;;;;;;
115;maori;rangi;wool;0;0;0;0;0;0;0;0;40;0;Dunedin;South_Island;hills;patched_state;South_Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;persian;shiite;cloth;0;0;0;0;0;0;2;0;40;0;Zahedan;state_100;desert;patched_state;state_100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;han;confucianism;cloth;0;0;113;4;4;0;0;5;39;0;PROV117;Chongqing;;patched_state;Chongqing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;maori;rangi;wool;0;0;0;0;0;0;0;0;40;0;Te_Anau;South_Island;low_mountain;patched_state;South_Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;tamazight;sunni;camel;0;0;0;0;0;0;1;0;39;0;PROV119;Libyan_Sahara;;patched_state;Libyan_Sahara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;somali;sunni;cloth;0;0;3;0;0;1;8;0;40;0;Hargeisa;Somaliland;;patched_state;Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;uighur;sunni;cloth;0;0;0;0;0;0;1;0;39;0;PROV121;Xinjiang;;patched_state;Xinjiang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;lithuanian;catholic;cloth;0;0;0;0;0;0;0;0;39;0;PROV122;Kovno;;patched_state;Kovno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;sami;mari;cloth;0;0;0;0;0;0;0;0;39;0;PROV123;Schleswig-Holstein;;patched_state;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;russian;orthodox;cloth;0;0;3;0;0;0;0;0;39;0;PROV124;Penza;;patched_state;Penza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;finnish;lutheran;grain;0;0;4;0;0;0;0;0;40;0;Rauma;Etelä-Suomi;;patched_state;Etelä-Suomi; ;lower_strata;swedish;lutheran;1;;;;;;;;;;;;;;;;;;;;;;;;
126;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV126;Mogilev;;patched_state;Mogilev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;finnish;lutheran;grain;0;0;3;0;0;0;0;0;40;0;Forssa;Etelä-Suomi;;patched_state;Etelä-Suomi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;armenian;orthodox;cloth;0;0;0;0;0;0;0;0;40;0;PROV128;Yelizavetpol;;patched_state;Yelizavetpol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;lithuanian;catholic;cloth;0;0;0;0;0;0;0;0;39;0;PROV129;Kovno;;patched_state;Kovno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;occitan;catholic;cloth;0;0;18;3;6;0;0;1;39;0;Montauban;Gascogne;;patched_state;Gascogne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV131;Moskva;;patched_state;Moskva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;sami;lutheran;wood;0;0;0;0;0;0;1;0;40;0;Savukoski;Lappi;;patched_state;Lappi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;slovak;catholic;cloth;0;0;14;2;0;0;0;0;39;0;Neusohl;Kaschau;plains;patched_state;Kaschau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV134;Tambor;;patched_state;Tambor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;occitan;catholic;cloth;0;0;31;5;9;0;0;2;39;0;Pau;Aquitaine;;patched_state;Aquitaine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;slovak;catholic;cloth;0;0;18;3;0;0;0;0;39;0;Neutra;Pressburg;;patched_state;Pressburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;wu;confucianism;cloth;0;0;28;2;0;0;0;3;39;0;Chun'an;Zhejian;;patched_state;Zhejian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV138;Mogilev;;patched_state;Mogilev;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;dixie;evangelical;cloth;0;0;0;0;0;0;0;0;40;0;Parsons;West Virginia;;patched_state;West Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;kazakh;sunni;cloth;0;0;0;0;0;0;0;0;39;0;PROV140;Astrakhan;semi_arid;patched_state;Astrakhan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;thai;theravada;cloth;0;0;1;0;0;6;0;0;39;0;Chumphon;state_10;dense_jungle;patched_state;state_10;;lower_strata;han;theravada;1;;;;;;;;;;;;;;;;;;;;;;;;
142;han;confucianism;cloth;0;0;7;0;0;0;0;0;39;0;PROV142;Gansu;;patched_state;Gansu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;north_german;catholic;coal;0;0;11;3;2;0;0;0;39;0;Schweidnitz;Niederschlesien;;patched_state;Niederschlesien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;dixie;evangelical;cloth;0;0;2;1;0;0;0;0;40;0;Beaufort;North Carolina;plains;patched_state;North Carolina;;slaves;afroamerican;evangelical;3;;;;;;;;;;;;;;;;;;;;;;;;
145;russian;orthodox;cloth;0;0;0;0;0;0;0;0;39;0;PROV145;Moskva;;patched_state;Moskva;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;roman;zanahary;cloth;0;0;0;0;0;0;0;0;40;0;Andaman;Andaman and Nicobar;;patched_state;Andaman and Nicobar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;dixie;evangelical;cloth;0;0;3;2;0;0;0;1;40;0;Fayetteville;North Carolina;plains;patched_state;North Carolina;;slaves;afroamerican;evangelical;2;;;;;;;;;;;;;;;;;;;;;;;;
