ProvID,Culture,Religion,TradeGoods,Citizens,Freedmen,LowerStrata,MiddleStrata,Proletariat,Slaves,Tribesmen,UpperStrata,Civilization,SettlementRank,NameRef,AraRef,isChanged
22,mordvin,orthodox,cloth,0,0,1,0,0,0,0,0,39,0,PROV22,state_457,FALSE
23,manchu,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,Ussurijsk,state_788,FALSE
24,khakas,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV24,state_310,FALSE
25,kachin,theravada,cloth,0,0,0,0,0,0,0,0,39,0,Myitkyina,state_585,FALSE
26,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV26,state_216,FALSE
27,russian,orthodox,cloth,0,0,1,0,0,0,0,0,39,0,Saratov,state_785,FALSE
28,korean,mahayana,cloth,0,0,10,0,0,0,0,0,40,0,Huicheon,state_717,FALSE
29,north_italian,catholic,silk,0,0,28,11,4,0,0,0,39,0,Brescia,Lombardy,FALSE
30,burmese,theravada,cloth,0,0,30,2,0,0,6,1,39,0,Akyab,Arakan,FALSE
31,korean,mahayana,cloth,0,0,11,0,0,0,0,0,40,0,Kopeung,state_717,FALSE
32,gondi,hindu,cloth,0,0,109,14,4,0,21,0,40,0,PROV32,state_410,FALSE
33,savoyard,catholic,gold,0,0,5,0,0,0,0,1,39,0,Valgrisanche,Savoia,FALSE
34,roman,mana,cloth,0,0,0,0,0,0,0,0,40,0,PROV34_latin,state_170,FALSE
35,libyan,sunni,cloth,0,0,7,0,0,0,3,0,39,0,PROV35,state_50,FALSE
36,tutchone,waashat,cloth,0,0,0,0,0,0,1,0,40,0,Anahim Lake,Columbia,FALSE
37,japanese,shinto,cloth,0,0,0,0,0,0,0,0,40,0,Shobara,state_587,FALSE
38,manchu,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV38,state_788,FALSE
39,manchu,mahayana,cloth,0,0,58,2,2,0,0,3,39,0,PROV39,state_3,FALSE
40,burmese,theravada,cloth,0,0,29,2,0,0,12,1,39,0,Shwegyin,Tenasserim,TRUE
41,georgian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,Poti,state_440,FALSE
42,dolgan,tengri,cloth,0,0,0,0,0,0,0,0,40,0,PROV42_latin,state_352,FALSE
43,manchu,mahayana,cloth,0,0,24,1,1,0,0,1,39,0,PROV43,state_3,FALSE
44,shilluk,kenyan,cloth,0,0,3,0,0,3,5,0,40,0,PROV44,state_259,FALSE
45,oriya,hindu,cloth,0,0,51,5,5,0,27,0,40,0,Puri,state_594,FALSE
46,shoshone,waashat,cloth,0,0,0,0,0,0,0,0,40,0,PROV46,state_236,FALSE
47,latin_caribbean,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Santo Domingo,state_227,FALSE
48,anglo_antipodean,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV48,state_4,FALSE
49,bengali,sunni,cloth,0,0,134,0,0,0,134,0,40,0,PROV49,state_692,FALSE
50,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV50_latin,state_626,FALSE
51,han,confucianism,cloth,0,0,58,2,2,0,0,3,39,0,Baoji,state_707,FALSE
52,amur,tengri,cloth,0,0,0,0,0,0,0,0,39,0,PROV52,state_198,FALSE
53,japanese,mahayana,cloth,0,0,0,0,0,0,0,0,40,0,PROV53,state_587,FALSE
54,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV54_latin,state_748,FALSE
55,han,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV55,state_5,FALSE
56,dolgan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV56,state_538,FALSE
57,hausa,hausa,cloth,0,0,3,0,0,2,24,0,40,0,Maiduguri,Nigeria,FALSE
58,colombian,catholic,sugar,0,0,10,0,0,0,0,0,40,0,Buchivacoa,state_6,TRUE
59,ute,waashat,cloth,0,0,0,0,0,0,0,0,40,0,Salt Lake City,state_36,FALSE
60,anglo_antipodean,mythic,cloth,0,0,0,0,0,0,0,0,40,0,Port Lincoln,state_4,FALSE
61,bihari,hindu,cloth,0,0,58,5,2,0,12,0,40,0,Gaya,state_533,FALSE
62,kru,akan,cloth,0,0,3,0,0,0,19,0,40,0,Dabou,Ivory Coast,FALSE
63,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV63_latin,state_748,FALSE
64,sami,mari,cloth,0,0,0,0,0,0,0,0,39,0,PROV64,state_542,FALSE
65,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV65,state_89,FALSE
66,colombian,catholic,sugar,0,0,6,0,0,0,0,0,40,0,La Guajira,state_329,TRUE
67,mossi,sunni,cloth,0,0,3,0,0,13,22,0,39,0,Niamey,Niger,FALSE
68,north_german,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Dessau,state_197,FALSE
69,scottish,reformed,cloth,0,0,12,1,0,0,0,0,40,0,North Ayrshire,state_619,FALSE
70,frisian,protestant,fish,0,0,0,1,0,0,0,0,39,0,Heligoland,state_542,TRUE
71,ukrainian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV71,state_754,FALSE
72,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV72,state_416,FALSE
73,oromo,kenyan,cloth,0,0,3,0,0,8,23,0,39,0,PROV73,state_312,FALSE
74,czech,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Prague,state_2,FALSE
75,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,Minsk,state_745,FALSE
76,navaho,waashat,cloth,0,0,0,0,0,0,0,0,40,0,PROV76,state_577,FALSE
77,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV77,state_89,FALSE
78,ukrainian,orthodox,cloth,0,0,3,0,0,0,0,0,39,0,Krasnoarmisk,state_384,FALSE
79,north_german,catholic,cloth,0,0,4,3,3,0,0,0,39,0,Halle,Thuringia,FALSE
80,castilian,catholic,cloth,0,0,7,2,1,0,0,0,39,0,Ronda,Seville,FALSE
81,bashkir,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV81,state_528,FALSE
82,scottish,reformed,cloth,0,0,3,0,0,0,0,0,40,0,Kintyre,state_429,FALSE
83,occitan,catholic,cloth,0,0,33,2,0,0,0,2,39,0,Die,Rhône-Alpes,FALSE
84,castilian,catholic,cloth,0,0,6,1,1,0,0,0,39,0,Jumilla,Murcia,FALSE
85,french,catholic,cloth,0,0,12,2,4,0,0,1,39,0,Thann,Alsace,FALSE
86,mordvin,orthodox,cloth,0,0,2,0,0,0,0,0,39,0,PROV86,state_457,FALSE
87,czech,protestant,cloth,0,0,0,0,0,0,0,0,39,0,PROV87,state_2,FALSE
88,tamazight,sunni,cloth,0,0,0,0,0,0,2,0,39,0,PROV88,state_9,FALSE
89,cherokee,waashat,cloth,0,0,0,0,0,0,1,0,40,0,Huntington,West Virginia,FALSE
90,uzbek,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV90,state_159,FALSE
91,amur,mahayana,cloth,0,0,0,0,0,0,1,0,39,0,PROV91,state_212,FALSE
92,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV92,state_416,FALSE
93,khmer,theravada,cloth,0,0,3,1,0,0,0,0,39,0,Mawlamyaing,Tenasserim,TRUE
94,castilian,catholic,cloth,0,0,8,2,1,0,0,0,39,0,Ecija,Seville,FALSE
95,bashkir,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV95,state_571,FALSE
96,manchu,mahayana,cloth,0,0,24,1,1,0,0,1,39,0,PROV96,state_220,FALSE
97,burmese,theravada,cloth,0,0,0,0,0,0,15,0,39,0,PROV97,state_112,FALSE
98,uighur,sunni,cloth,0,0,0,0,0,0,1,0,39,0,PROV98,state_758,FALSE
99,castilian,catholic,cloth,0,0,6,1,0,0,0,0,39,0,Hellin,Murcia,FALSE
100,khmer,theravada,cloth,0,0,17,0,0,0,0,1,39,0,Kracheh,state_55,FALSE
101,mordvin,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV101,state_262,FALSE
102,baloch,sunni,cloth,0,0,0,0,0,0,2,0,40,0,PROV102,state_773,FALSE
103,han,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV103,state_51,FALSE
104,tamazight,sunni,cloth,0,0,0,0,0,0,2,0,39,0,PROV104,state_9,FALSE
105,tuvan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV105,state_113,FALSE
106,turkmen,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV106,state_363,FALSE
107,manchu,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,Vladivostok,state_788,FALSE
108,tamazight,sunni,cloth,0,0,0,0,0,0,2,0,39,0,PROV108,state_668,FALSE
109,tuvan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV109,state_538,FALSE
110,tajik,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV110,state_159,FALSE
111,somali,sunni,cloth,0,0,3,0,0,0,3,0,40,0,PROV111,state_148,FALSE
112,uighur,sunni,cloth,0,0,7,0,0,0,0,0,39,0,PROV112,state_758,FALSE
113,uighur,sunni,cloth,0,0,7,0,0,0,0,0,39,0,PROV113,state_758,FALSE
114,colombian,catholic,tropical_fruit,0,0,5,0,0,0,0,0,40,0,Veraguas,Panama,TRUE
115,maori,rangi,cloth,0,0,0,0,0,0,0,0,40,0,Dunedin,state_459,FALSE
116,persian,shiite,cloth,0,0,0,0,0,0,2,0,40,0,Zahedan,state_100,FALSE
117,han,confucianism,cloth,0,0,113,4,4,0,0,5,39,0,PROV117,state_707,FALSE
118,maori,rangi,cloth,0,0,0,0,0,0,0,0,40,0,PROV118,state_459,FALSE
119,tamazight,sunni,cloth,0,0,0,0,0,0,1,0,39,0,PROV119,state_668,FALSE
120,somali,sunni,cloth,0,0,3,0,0,1,8,0,40,0,Hargeisa,state_148,FALSE
121,uighur,sunni,cloth,0,0,0,0,0,0,1,0,39,0,PROV121,state_758,FALSE
122,lithuanian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV122,state_119,FALSE
123,sami,mari,cloth,0,0,0,0,0,0,0,0,39,0,PROV123,state_542,FALSE
124,russian,orthodox,cloth,0,0,3,0,0,0,0,0,39,0,PROV124,state_308,FALSE
125,finnish,protestant,cloth,0,0,4,0,0,0,0,0,40,0,Rauma,Southern Finland,FALSE
126,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV126,state_635,FALSE
127,finnish,protestant,cloth,0,0,3,0,0,0,0,0,40,0,Forssa,Southern Finland,FALSE
128,armenian,orthodox,cloth,0,0,0,0,0,0,0,0,40,0,PROV128,state_264,FALSE
129,lithuanian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV129,state_495,FALSE
130,occitan,catholic,cloth,0,0,18,3,6,0,0,1,39,0,Montauban,Gascogne,FALSE
131,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV131,state_443,FALSE
132,sami,protestant,cloth,0,0,0,0,0,0,1,0,40,0,Savukoski,Lappi,FALSE
133,slovak,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV133,state_647,FALSE
134,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV134,state_682,FALSE
135,occitan,catholic,cloth,0,0,31,5,9,0,0,2,39,0,Pau,Aquitaine,FALSE
136,slovak,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Nitra,state_56,FALSE
137,wu,confucianism,cloth,0,0,58,2,2,0,0,3,39,0,PROV137,state_755,FALSE
138,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV138,state_635,FALSE
139,dixie,evangelical,cloth,0,0,0,0,0,0,0,0,40,0,Parsons,West Virginia,FALSE
140,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV140,state_81,FALSE
141,thai,theravada,cloth,0,0,1,0,0,6,0,0,39,0,Chumphon,state_10,FALSE
142,han,confucianism,cloth,0,0,7,0,0,0,0,0,39,0,PROV142,state_5,FALSE
143,north_german,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Waldenburg,state_770,FALSE
144,dixie,evangelical,cloth,0,0,2,1,0,0,0,0,40,0,Beaufort,North Carolina,FALSE
145,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV145,state_443,FALSE
146,roman,zanahary,cloth,0,0,0,0,0,0,0,0,40,0,Andaman,state_11,FALSE
147,dixie,evangelical,cloth,0,0,3,2,0,0,0,1,40,0,Fayetteville,North Carolina,FALSE
148,anglo_antipodean,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV148,state_603,FALSE
149,occitan,catholic,cloth,0,0,37,2,0,0,0,2,39,0,Mont-de-Marsan,Aquitaine,FALSE
150,bashkir,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV150,state_581,FALSE
151,wu,confucianism,cloth,0,0,113,4,4,0,0,5,39,0,PROV151,state_755,FALSE
152,mongolian,tengri,cloth,0,0,0,0,0,0,0,0,39,0,PROV152,state_669,FALSE
153,egyptian_arabic,sunni,cloth,0,0,8,0,0,0,0,0,39,0,PROV153,state_437,FALSE
154,dixie,protestant,cloth,0,0,0,0,0,0,0,0,40,0,Elkins,West Virginia,FALSE
155,han,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV155,state_12,FALSE
156,tamil,hindu,cloth,0,0,51,5,2,0,10,0,40,0,PROV156,state_38,FALSE
157,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV157,state_216,FALSE
158,0,0,0,0,0,0,0,0,0,0,0,1,0,PROV158,0,FALSE
159,amur,tengri,cloth,0,0,0,0,0,0,0,0,39,0,PROV159,state_198,FALSE
160,jin,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV160,state_12,FALSE
161,tupi,catimbo,fish,0,0,0,0,0,0,2,0,40,0,Coruripe,Alagoas and Sergipe,TRUE
162,tamil,hindu,cloth,0,0,53,5,3,0,18,0,40,0,Madras,state_38,FALSE
163,uighur,sunni,cloth,0,0,0,0,0,0,1,0,39,0,PROV163,state_756,FALSE
164,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,Marla,state_748,FALSE
165,madurese,sunni,cloth,0,0,0,0,0,0,0,0,40,0,Soerabaja,state_279,FALSE
166,bashkir,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV166,state_581,FALSE
167,hindi,hindu,cloth,0,0,46,0,2,0,10,0,40,0,Jaipur,state_15,FALSE
168,mongolian,tengri,cloth,0,0,0,0,0,0,0,0,39,0,PROV168,state_630,FALSE
169,egyptian_arabic,sunni,cloth,0,0,9,0,0,0,0,0,39,0,PROV169,state_437,FALSE
170,rajasthani,sunni,cloth,0,0,6,0,0,0,1,0,40,0,PROV170,state_15,FALSE
171,oroqen,tengri,cloth,0,0,0,0,0,0,0,0,39,0,PROV171,state_665,FALSE
172,tupi,catholic,livestock,0,0,0,0,0,0,2,0,40,0,Oricuri,Pernambuco,TRUE
173,ecuadorian,catholic,tropical_fruit,0,0,3,0,0,0,0,0,40,0,Guaranda,Sierra de Ecuador,TRUE
174,uighur,sunni,cloth,0,0,7,0,0,0,0,0,39,0,PROV174,state_271,FALSE
175,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV175,state_671,FALSE
176,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV176,state_591,FALSE
177,kayan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV177,state_139,FALSE
178,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV178,state_672,FALSE
179,russian,orthodox,cloth,0,0,2,0,0,0,0,0,39,0,Borova,state_383,FALSE
180,russian,orthodox,cloth,0,0,7,0,0,0,0,0,39,0,PROV180,state_688,FALSE
181,swedish,protestant,cloth,0,0,0,0,0,0,0,0,39,0,PROV181,state_461,FALSE
182,hungarian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Eger,state_655,FALSE
183,russian,orthodox,cloth,0,0,1,0,0,0,0,0,39,0,PROV183,state_785,FALSE
184,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV184,state_591,FALSE
185,czech,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV185,state_749,FALSE
186,russian,orthodox,cloth,0,0,2,0,0,0,0,0,39,0,Pensa,state_308,FALSE
187,albanian,sunni,cloth,0,0,9,2,1,0,0,2,39,0,Tirana,state_116,FALSE
188,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV188,state_672,FALSE
189,dagestani,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV189,state_74,FALSE
190,ukrainian,orthodox,cloth,0,0,10,0,0,0,0,0,39,0,Balakliya,state_383,FALSE
191,kabyle,sunni,cloth,0,0,2,0,0,0,4,0,39,0,PROV191,state_105,FALSE
192,russian,orthodox,cloth,0,0,5,0,0,0,0,0,39,0,PROV192,state_688,FALSE
193,basque,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Estella,Navarre,FALSE
194,sami,protestant,cloth,0,0,0,0,0,0,0,0,39,0,Arjepolog,state_461,FALSE
195,castilian,catholic,cloth,0,0,20,4,4,0,0,2,39,0,Almeria,Granada,FALSE
196,castilian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Miranda de Ebro,state_129,FALSE
197,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV197,state_83,FALSE
198,austrian,protestant,cloth,0,0,0,0,0,0,0,0,39,0,PROV198,state_65,FALSE
199,han,confucianism,cloth,0,0,24,1,1,0,0,1,39,0,PROV199,state_654,FALSE
200,south_italian,catholic,vegetables,0,0,14,2,0,0,0,0,39,0,San Severo,Puglia,FALSE
201,alabama,waashat,cloth,0,0,0,0,0,0,0,0,40,0,PROV201,state_771,FALSE
202,portuguese,catholic,mediterranean_fruit,0,0,12,2,2,0,0,1,39,0,Avis,Algarve,FALSE
203,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV203,state_81,FALSE
204,malayan,theravada,cloth,0,0,2,0,0,0,0,0,39,0,Krabi,state_10,TRUE
205,tunisian,sunni,cloth,0,0,3,0,0,0,5,0,39,0,PROV205,state_254,FALSE
206,ukrainian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV206,state_338,FALSE
207,jin,confucianism,cloth,0,0,24,1,1,0,0,1,39,0,PROV207,state_393,FALSE
208,malayan,theravada,cloth,0,0,2,0,0,0,0,0,39,0,Phuket,state_10,TRUE
209,jin,confucianism,cloth,0,0,7,0,0,0,0,0,39,0,Yinchuan,state_16,FALSE
210,castilian,catholic,cloth,0,0,11,2,1,0,0,1,39,0,Motril,Granada,FALSE
211,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV211,state_748,FALSE
212,mikmaq,inuit,cloth,0,0,0,0,0,0,1,0,40,0,Campbellton,New Brunswick,FALSE
213,bedouin,sunni,cloth,0,0,0,0,0,0,2,0,39,0,Mekka,state_17,FALSE
214,altai,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV214,state_266,FALSE
215,han,confucianism,cloth,0,0,58,2,2,0,0,3,39,0,PROV215,state_747,FALSE
216,tuvan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV216,state_481,FALSE
217,choctaw,waashat,cloth,0,0,0,0,0,0,0,0,40,0,PROV217,state_771,FALSE
218,portuguese,catholic,salt,0,0,10,3,5,0,0,2,39,0,Santarém,Lisboa,FALSE
219,rajasthani,jainism,cloth,0,0,12,0,0,0,4,0,40,0,PROV219,state_15,FALSE
220,tuvan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV220,state_113,FALSE
221,jin,confucianism,cloth,0,0,7,0,0,0,0,0,39,0,Ordos,state_16,FALSE
222,kongo,bantu,cloth,0,0,2,0,0,0,8,0,40,0,PROV222,state_140,FALSE
223,jin,mahayana,cloth,0,0,7,0,0,0,0,0,39,0,PROV223,state_166,FALSE
224,kiowa,waashat,cloth,0,0,0,0,0,0,0,0,40,0,PROV224,state_670,FALSE
225,guarani,pagelanca,sugar,0,0,0,0,0,0,1,0,40,0,Paranavaí,Paraná,TRUE
226,bedouin,sunni,cloth,0,0,2,0,0,0,2,0,39,0,PROV226,state_17,FALSE
227,kazakh,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV227,state_573,FALSE
228,rajasthani,sunni,cloth,0,0,2,0,0,0,4,0,40,0,PROV228,state_15,FALSE
229,brazilian,catholic,vegetables,0,0,2,0,0,0,0,0,40,0,Rio Pardo,Minas Gerais,TRUE
230,kiowa,waashat,cloth,0,0,0,0,0,0,0,0,40,0,Tulsa,state_761,FALSE
231,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV231,state_308,FALSE
232,platense,catholic,livestock,0,0,0,0,0,0,0,0,40,0,PROV232,Salta,TRUE
233,north_german,protestant,cloth,0,0,0,0,0,0,0,0,39,0,Magdeburg,state_197,FALSE
234,norwegian,protestant,cloth,0,0,0,0,0,0,0,0,40,0,PROV234,state_288,FALSE
235,flemish,catholic,cloth,0,0,12,9,10,0,0,4,40,0,Brussel,Flanders,FALSE
236,russian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV236,state_689,FALSE
237,scottish,reformed,cloth,0,0,6,0,0,0,0,0,40,0,Kincardine,state_64,FALSE
238,ojibwe-potawatomi,gaihwiio,cloth,0,0,0,0,0,0,0,0,40,0,Lansing,state_721,FALSE
239,ukrainian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV239,state_192,FALSE
240,russian,orthodox,cloth,0,0,1,0,0,0,0,0,39,0,PROV240,state_308,FALSE
241,danish,protestant,cloth,0,0,0,0,0,0,0,0,39,0,Odense,state_681,FALSE
242,colombian,catholic,coffee,0,0,9,2,0,0,0,0,40,0,Izcaragua,0,TRUE
243,north_german,protestant,cloth,0,0,0,0,0,0,0,0,39,0,Braunschweig,state_676,FALSE
244,castilian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Isaba,Aragón,FALSE
245,austrian,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Vienna,state_65,FALSE
246,yue,confucianism,cloth,0,0,58,2,2,0,0,3,39,0,PROV246,state_765,FALSE
247,zulu,bantu,cloth,0,0,0,0,0,0,29,0,39,0,PROV247,state_689,FALSE
248,turkish,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV248,state_18,FALSE
249,chipewyan,inuit,cloth,0,0,0,0,0,0,1,0,40,0,Norway House,Manitoba,FALSE
250,roman,mana,cloth,0,0,0,0,0,0,0,0,40,0,New Hanover,state_144,FALSE
251,azeri,shiite,cloth,0,0,0,0,0,0,0,0,40,0,PROV251,state_74,FALSE
252,ukrainian,orthodox,cloth,0,0,0,0,0,0,0,0,39,0,PROV252,state_192,FALSE
253,tamazight,ibadi,cloth,0,0,0,0,0,0,5,0,39,0,PROV253,state_254,FALSE
254,occitan,catholic,cloth,0,0,22,1,0,0,0,1,39,0,Aix-en-Provence,Provence,FALSE
255,danish,protestant,cloth,0,0,9,3,2,0,0,0,40,0,Ribe,state_541,FALSE
256,malayan,sunni,cloth,0,0,4,0,0,0,0,0,39,0,Taiping,Johore,TRUE
257,algerian,sunni,cloth,0,0,1,0,0,0,3,0,39,0,PROV257,state_254,FALSE
258,anglo_antipodean,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV258,state_141,FALSE
259,basque,catholic,cloth,0,0,0,0,0,0,0,0,39,0,Pamplona,Navarre,FALSE
260,nunavik,inuit,cloth,0,0,0,0,0,0,1,0,40,0,Fort Chimo,Nord-du-Québec,FALSE
261,yue,confucianism,cloth,0,0,24,1,1,0,0,1,39,0,Nanning,state_765,FALSE
262,mongolian,tengri,cloth,0,0,0,0,0,0,0,0,39,0,Irkutsk,state_630,FALSE
263,han,confucianism,cloth,0,0,24,1,1,0,0,1,39,0,PROV263,state_654,FALSE
264,turkish,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV264,state_18,FALSE
265,latin_caribbean,catholic,cloth,0,0,0,0,0,0,0,0,39,0,PROV265,state_19,FALSE
266,malayan,sunni,cloth,0,0,0,0,0,0,0,0,39,0,Jambi,state_251,FALSE
267,dagestani,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV267,state_74,FALSE
268,sibir,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV268,state_213,FALSE
269,mexican,catholic,cloth,0,0,0,0,0,0,0,0,40,0,Pasedena,state_577,FALSE
270,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV270_latin,state_748,FALSE
271,bornean,sunni,cloth,0,0,0,0,0,0,0,0,39,0,PROV271,state_439,FALSE
272,luri,shiite,cloth,0,0,5,0,0,0,0,0,40,0,PROV272,state_395,FALSE
273,anglo_antipodean,mythic,cloth,0,0,0,0,0,0,0,0,40,0,PROV273,state_141,FALSE
274,brazilian,catholic,coffee,0,0,6,0,0,0,0,0,40,0,Manhuacu,Minas Gerais,TRUE
275,quebecois,catholic,cloth,0,0,12,4,6,0,0,1,40,0,Montréal,Québec,FALSE
276,bedouin,ibadi,cloth,0,0,0,0,0,0,2,0,40,0,PROV276,state_343,FALSE
277,mongolian,mahayana,cloth,0,0,0,0,0,0,0,0,39,0,PROV277,state_652,FALSE
278,hakka,confucianism,cloth,0,0,58,2,2,0,0,3,39,0,PROV278,state_269,FALSE
279,ngbandi,bantu,cloth,0,0,2,0,0,0,11,0,40,0,PROV279,state_126,FALSE
280,sibir,sunni,cloth,0,0,0,0,0,0,0,0,40,0,PROV280,state_252,FALSE
281,roman,mythic,cloth,0,0,0,0,0,0,0,0,40,0,Derby,state_315,FALSE
